ID, Material, Feeling, Answer 
215,Tap,1,accuracy,3
215,Tap,1,comfort,4
215,Tap,1,responsivity,3
215,Press,1,accuracy,3
215,Press,1,comfort,4
215,Press,1,responsivity,3
215,Slider,1,accuracy,3
215,Slider,1,comfort,4
215,Slider,1,responsivity,3
215,Tap,2,accuracy,2
215,Tap,2,comfort,2
215,Tap,2,responsivity,2
215,Press,2,accuracy,2
215,Press,2,comfort,2
215,Press,2,responsivity,2
215,Slider,2,accuracy,2
215,Slider,2,comfort,2
215,Slider,2,responsivity,1
215,Tap,3,accuracy,5
215,Tap,3,comfort,4
215,Tap,3,responsivity,3
215,Press,3,accuracy,5
215,Press,3,comfort,4
215,Press,3,responsivity,3
215,Slider,3,accuracy,5
215,Slider,3,comfort,4
215,Slider,3,responsivity,3


216,Tap,1,accuracy,3
216,Tap,1,comfort,3
216,Tap,1,responsivity,3
216,Press,1,accuracy,3
216,Press,1,comfort,3
216,Press,1,responsivity,3
216,Slider,1,accuracy,3
216,Slider,1,comfort,3
216,Slider,1,responsivity,4
216,Tap,2,accuracy,4
216,Tap,2,comfort,5
216,Tap,2,responsivity,4
216,Press,2,accuracy,4
216,Press,2,comfort,5
216,Press,2,responsivity,4
216,Slider,2,accuracy,4
216,Slider,2,comfort,5
216,Slider,2,responsivity,4
216,Tap,3,accuracy,2
216,Tap,3,comfort,2
216,Tap,3,responsivity,2
216,Press,3,accuracy,2
216,Press,3,comfort,2
216,Press,3,responsivity,2
216,Slider,3,accuracy,2
216,Slider,3,comfort,2
216,Slider,3,responsivity,2
